file_number,message_id,title,author,author_link,author_id
630011,message #1223035,Project Disappears from Project Explorer,Anshuman Chakraborty,index.php?t=usrinfo&id=185042&,185042
630039,message #1223063,Best Practice for teamwork with papyrus,Martin Heinrich,index.php?t=usrinfo&id=181572&,181572
630062,message #1223088,Annotations and white spaces,Plamen Petkov,index.php?t=usrinfo&id=185045&,185045
630097,message #1223124,Can't Open Eclipse,Joe Gibson,index.php?t=usrinfo&id=184855&,184855
630116,message #1223143,Deployment issue from glassfish 4.0 using eclipse plug-in,Madhusaran A,index.php?t=usrinfo&id=185050&,185050
630130,message #1223157,How-to use css to customise ECF views ?,Bernard Sarter,index.php?t=usrinfo&id=123174&,123174
630178,message #1223213,"Access EMF Model from Resources of Deployed plugin- ""Not workspace""",Salwa Alzahmi,index.php?t=usrinfo&id=172843&,172843
630181,message #1223217,"Symbol ""unique_ptr"" could not be resolved.",Jake Horsfield,index.php?t=usrinfo&id=185059&,185059
630242,message #1223281,How to improve the performance of the rap app when many widgets are used?,David Song,index.php?t=usrinfo&id=80713&,80713
630251,message #1223290,Whitespace removal from indented lines,Mike xx,index.php?t=usrinfo&id=178529&,178529
630273,message #1223313,Fixed size table in PDF format,Alex Che,index.php?t=usrinfo&id=185069&,185069
630277,message #1223317,EMF code generator [Error emf.Ecore2Java],javs javs,index.php?t=usrinfo&id=182105&,182105
630287,message #1223327,make column header sticky,Gary Zuo,index.php?t=usrinfo&id=185070&,185070
630314,message #1223354,Problem reading model with SysML 1.3 stereotypes applied,Raphael B,index.php?t=usrinfo&id=169381&,169381
630323,message #1223367,is there Environment variables for 'Builders' when debug/Release build?,Android Dev,index.php?t=usrinfo&id=185077&,185077
630336,message #1223382,Problem Referring to Existing EPackage,Ramu Mothukuru,index.php?t=usrinfo&id=158075&,158075
630370,message #1223428,[XCore] extending XCore,Joel Greenyer,index.php?t=usrinfo&id=27402&,27402
630372,message #1223430,[EMF] [CDO] ConcurrentModificationException when setting setTrackingModification(true),Leonid Ripeynih,index.php?t=usrinfo&id=135650&,135650
630375,message #1223433,locale text on pie chart category series label,José Litux,index.php?t=usrinfo&id=167900&,167900
630391,message #1223451,Need to open browser externally.. getting error,no name no name,index.php?t=usrinfo&id=135679&,135679
630393,message #1223453,[Edapt] visualizing the migration process,Christophe Bouhier,index.php?t=usrinfo&id=61108&,61108
630396,message #1223456,open one browser and one editor in same eclipse workbench,no name no name,index.php?t=usrinfo&id=135679&,135679
630419,message #1223485,Custom security filter calling a scout service,Patrick Mackinlay,index.php?t=usrinfo&id=183862&,183862
630442,message #1223515,change query depending on locale [solved],José Litux,index.php?t=usrinfo&id=167900&,167900
630448,message #1223521,"Birt cannot get data from Postgres's RefCursor, so , How do i do this?",Gaston Flores,index.php?t=usrinfo&id=185100&,185100
630452,message #1223525,Routing tutorial,Filipe Ramos,index.php?t=usrinfo&id=185101&,185101
630463,message #1223536,generate code out of metamodel(.ecore file ) using xpandfacade,Adnan AL-SOSWA,index.php?t=usrinfo&id=84174&,84174
630466,message #1223539,Eclipse and XML,John Steele,index.php?t=usrinfo&id=185092&,185092
630468,message #1223541,How to create a UML!Type entity and access XSD elements inside WSDLfile,michel souza,index.php?t=usrinfo&id=184177&,184177
