file_number,message_id,topic,link,domain,top_level_domain
1001380,message #306279,Feature Request 151854 - display value of -showlocation at beginning of title bar,https://bugs.eclipse.org/bugs/show_bug.cgi?id=43421,bugs.eclipse.org,org
1001392,message #306281,How to activate the Edit Menu in the Workspace,http://www.pocketmt.com,www.pocketmt.com,com
1001410,message #306285,Disable logging,http://dev.eclipse.org/newslists/news.eclipse.birt/msg12005.html,dev.eclipse.org,org
1001552,message #306319,How to enable Merge buttons in CompareUI.openCompareDialog...,http://www.eclipsezone.com/eclipse/forums/t53759.html#91953073,www.eclipsezone.com,com
1001585,message #306323,ClassNotFoundException when running in -pdelaunch,http://help.eclipse.org/help32/index.jsp?topic=/org.eclipse.platform.doc.isv/guide/ant_developing.htm,help.eclipse.org,org
1001585,message #306323,ClassNotFoundException when running in -pdelaunch,https://bugs.eclipse.org/bugs/show_bug.cgi?id=152063,bugs.eclipse.org,org
1001663,message #306347,[Common Navigator] Several questions on how-to use it,http://scribbledideas.blogspot.com,scribbledideas.blogspot.com,blogspot.com
1001663,message #306347,[Common Navigator] Several questions on how-to use it,http://www.eclipse.org/newsportal/article.php?id=15267&group=eclipse.platform.rcp#15267,www.eclipse.org,org
1001836,message #306400,Adding ant task from a plugin,http://help.eclipse.org/help32/topic/org.eclipse.platform.doc.isv/guide/ant_contributing_task.htm,help.eclipse.org,org
1001877,message #306405,Error on displaying Problem Marker in Problem View in Eclipse 3.2,http://www.eclipseplugincentral.com/PNphpBB2-printview-t-3542-start-0.html,www.eclipseplugincentral.com,com
1001927,message #306414,How do we show tooltips when the user hoovers a marker in an editor ?,http://www.pocketmt.com,www.pocketmt.com,com
1001935,message #306416,Proposal for Subversion support posted!,http://www.eclipse.org/proposals/svn/,www.eclipse.org,org
1001974,message #306422,Editors and coulours ??? how to ? please help,http://www.pocketmt.com,www.pocketmt.com,com
1001989,message #306423,Annotations vs Markers ?,http://www.pocketmt.com,www.pocketmt.com,com
1002053,message #306452,How to force refersh of decorations (in Project explorer) after a change in resources?,http://www.pocketmt.com,www.pocketmt.com,com
1002053,message #306452,How to force refersh of decorations (in Project explorer) after a change in resources?,http://www.eclipse.org/articles/Article-Decorators/decorators.html,www.eclipse.org,org
1002084,message #306457,"The borders of composites in Eclipse Form Section can't be paint, help~~~",http://www.eclipse.org/articles/Article-Forms/article.html,www.eclipse.org,org
1002289,message #306510,MultipageEditor & Outline Problem,https://bugs.eclipse.org/bugs/show_bug.cgi?id=1917,bugs.eclipse.org,org
1002370,message #306529,Callisto missing DebugEvent.CHANGE?,https://bugs.eclipse.org/bugs/show_bug.cgi?id=3D144253,bugs.eclipse.org,org
1002370,message #306529,Callisto missing DebugEvent.CHANGE?,https://bugs.eclipse.org/bugs/show_bug.cgi?id=144253,bugs.eclipse.org,org
1002408,message #306536,How do you upgrade from V3.1.2 to V3.2?,http://www.eclipse.org/downloads/download.php?r=1&file=/technology/phoenix/demos/install-eclipse/install-eclipse.html,www.eclipse.org,org
1002408,message #306536,How do you upgrade from V3.1.2 to V3.2?,http://www.eclipse.org/eclipse/development/readme_eclipse_3.2.html#Upgrading,www.eclipse.org,org
1002408,message #306536,How do you upgrade from V3.1.2 to V3.2?,http://profs.logti.etsmtl.ca/cfuhrman/index.shtml?en,profs.logti.etsmtl.ca,ca
1002408,message #306536,How do you upgrade from V3.1.2 to V3.2?,http://www.eclipse-wiki.info/Upgrading,www.eclipse-wiki.info,info
1002408,message #306536,How do you upgrade from V3.1.2 to V3.2?,http://eclipsewiki.editme.com/InstallationOrganization,eclipsewiki.editme.com,com
1002455,message #306555,site.xml redirection fails on plugins,http://www.bandxi.com/fitnesse/site.xml,www.bandxi.com,com
1002455,message #306555,site.xml redirection fails on plugins,http://confit.sourceforge.net/update/,confit.sourceforge.net,net
1002455,message #306555,site.xml redirection fails on plugins,http://confit.sourceforge.net/,confit.sourceforge.net,net
1002455,message #306555,site.xml redirection fails on plugins,http://confit.sourceforge.net/update/features/com.bandxi.fitnesse.feature_1.0.2.jar,confit.sourceforge.net,net
1002455,message #306555,site.xml redirection fails on plugins,http://fitnesse.org,fitnesse.org,org
1002455,message #306555,site.xml redirection fails on plugins,http://www.bandxi.com/,www.bandxi.com,com
1002455,message #306555,site.xml redirection fails on plugins,http://www.gnu.org/copyleft/gpl.html,www.gnu.org,org
1002455,message #306555,site.xml redirection fails on plugins,http://www.bandxi.com/fitnesse/plugins/com.bandxi.fitnesse.launcher_1.0.2.jar,www.bandxi.com,com
1002455,message #306555,site.xml redirection fails on plugins,http://www.bandxi.com/fitnesse/,www.bandxi.com,com
1002455,message #306555,site.xml redirection fails on plugins,http://help.eclipse.org/help32/index.jsp?topic=/org.eclipse.platform.doc.user/tasks/tasks-37.htm,help.eclipse.org,org
1002464,message #306557,"PDE ""organize manifests""",https://bugs.eclipse.org/bugs/,bugs.eclipse.org,org
1002464,message #306557,"PDE ""organize manifests""",https://bugs.eclipse.org/bugs/show_bug.cgi?id=148844,bugs.eclipse.org,org
1002575,message #306580,EFS questions,https://bugs.eclipse.org/bugs/show_bug.cgi?id=124530,bugs.eclipse.org,org
1002575,message #306580,EFS questions,http://wiki.eclipse.org/index.php/EFS,wiki.eclipse.org,org
1002575,message #306580,EFS questions,https://bugs.eclipse.org/bugs/show_bug.cgi?id=134270,bugs.eclipse.org,org
1002588,message #306581,Visually merge file that has been updated outside eclipse,http://help.eclipse.org/help32/index.jsp?topic=/org.eclipse.platform.doc.isv/guide/compare.htm,help.eclipse.org,org
1002688,message #306618,launching Eclipse from the command line,http://help.eclipse.org/help32/topic/org.eclipse.platform.doc.user/tasks/running_eclipse.htm,help.eclipse.org,org
1002811,message #306676,textViewer.getDocument().getContentType do not give me the correct partition ?,http://www.pocketmt.com,www.pocketmt.com,com
1002832,message #306682,The activator for bundle is invalid,http://wiki.eclipse.org/index.php/PDE,wiki.eclipse.org,org
1002842,message #306688,Is there any API to get access to a Eclipse project outside workbench?,http://wiki.eclipse.org/index.php/FAQ_How_do_I_create_an_application%3F,wiki.eclipse.org,org
1002842,message #306688,Is there any API to get access to a Eclipse project outside workbench?,http://wiki.eclipse.org/index.php/FAQ_How_are_resources_created%3F,wiki.eclipse.org,org
1002842,message #306688,Is there any API to get access to a Eclipse project outside workbench?,http://wiki.tada.se/wiki/display/buckminster/Buckminster+Headless,wiki.tada.se,se
1002842,message #306688,Is there any API to get access to a Eclipse project outside workbench?,http://wiki.tada.se/wiki/display/buckminster/Headless+boot+and+design,wiki.tada.se,se
1002850,message #306689,Disable logging,http://dev.eclipse.org/newslists/news.eclipse.birt/msg12005.html,dev.eclipse.org,org
1002887,message #306697,How to go back to previous position ?,http://www.pocketmt.com,www.pocketmt.com,com
1002953,message #306716,Eclipse 3.1.x - plugin_configuration.ini,http://www.opera.com/mail/,www.opera.com,com
