file_number,message_id,topic,link,domain,top_level_domain
600020,message #189632,New wizard,http://help.eclipse.org/help33/topic/org.eclipse.platform.doc.isv/reference/,help.eclipse.org,org
600112,message #189665,"[ANN] v3.0 - SWT Designer, Swing Designer & WindowBuilder",http://www.instantiations.com/windowbuilderpro,www.instantiations.com,com
600112,message #189665,"[ANN] v3.0 - SWT Designer, Swing Designer & WindowBuilder",http://www.instantiations.com/windowbuilderpro/order.html,www.instantiations.com,com
600131,message #189670,Adding jars from an other projects,http://openrules.com,openrules.com,com
600131,message #189670,Adding jars from an other projects,http://www.javango.net/eclipse/userlib.html,www.javango.net,net
600148,message #189674,WSGEN :  WSDL URL in axisclient.properties,http://soap.amazon.com/schemas2/AmazonWebServices.wsdl,soap.amazon.com,com
600148,message #189674,WSGEN :  WSDL URL in axisclient.properties,https://bugs.eclipse.org/bugs/,bugs.eclipse.org,org
600148,message #189674,WSGEN :  WSDL URL in axisclient.properties,http://www.eclipse.org/webtools/jst/components/ws/1.5/tutorials/WebServiceClient/WebServiceClient.html,www.eclipse.org,org
600148,message #189674,WSGEN :  WSDL URL in axisclient.properties,https://bugs.eclipse.org/bugs/show_bug.cgi?id=175194,bugs.eclipse.org,org
600198,message #189692,"Include ""JAR-folder"" into Java project?",http://openrules.com,openrules.com,com
600198,message #189692,"Include ""JAR-folder"" into Java project?",http://www.jibeinc.com,www.jibeinc.com,com
600198,message #189692,"Include ""JAR-folder"" into Java project?",http://www.javango.net/eclipse/userlib.html,www.javango.net,net
600284,message #189719,Birt Designer into Rcp application,http://jfire.org,jfire.org,org
600284,message #189719,Birt Designer into Rcp application,https://svn.jfire.org/svn/main/trunk/org.nightlabs.jfire.reporting.admin/,svn.jfire.org,org
600284,message #189719,Birt Designer into Rcp application,https://svn.jfire.org/svn/main/trunk/org.nightlabs.jfire.reporting.admin/src/org/nightlabs/jfire/reporting/admin/layout/editor/,svn.jfire.org,org
600284,message #189719,Birt Designer into Rcp application,https://svn.jfire.org/svn/main/trunk/org.nightlabs.jfire.reporting.admin/plugin.xml,svn.jfire.org,org
600389,message #189741,Adding BreadCrumbs to Palette Viewer,https://bugs.eclipse.org/bugs/show_bug.cgi?id=101703,bugs.eclipse.org,org
600405,message #189745,Proyproblems with BIRT webviewer,http://www.w3.org/TR/REC-html40/strict.dtd,www.w3.org,org
600426,message #189766,marker-based Annotation update problem with source buffer manipulation inside JavaCore.run(),http://www.enigmatec.net,www.enigmatec.net,net
600508,message #189790,Ctrl+Shift+F not working on Linux,http://www.transparent.co.nz,www.transparent.co.nz,co.nz
600508,message #189790,Ctrl+Shift+F not working on Linux,http://www.enigmatec.net,www.enigmatec.net,net
600576,message #189814,Code templates using ${line_selection},https://bugs.eclipse.org/bugs/show_bug.cgi?id=10694,bugs.eclipse.org,org
600582,message #189815,astyle download site,http://astyleclipse.sourceforge.net/,astyleclipse.sourceforge.net,net
600582,message #189815,astyle download site,http://astyleclipse.sourceforge.net/update,astyleclipse.sourceforge.net,net
600599,message #189816,NullPointerException in report,https://bugs.eclipse.org/bugs/show_bug.cgi?id=156966,bugs.eclipse.org,org
600625,message #189820,Share my webservices,http://ws.apache.org/axis/java/user-guide.html,ws.apache.org,org
600625,message #189820,Share my webservices,http://titano.domain.com:8080/ises1/services/nameoftheserviceWS,titano.domain.com:8080,com
600625,message #189820,Share my webservices,http://titano.domain.com:8080/ises1/services/nameoftheserviceWS?wsdl,titano.domain.com:8080,com
