file_number,message_id,topic,link,domain,top_level_domain
800006,message #248708,figure keyListener,http://dev.eclipse.org/newslists/news.eclipse.tools.gef/msg02396.html,dev.eclipse.org,org
800025,message #248729,[Announce] GEF 3.5.0 I200904251850 is available,http://www.eclipse.org/gef/downloads/?project=gef&showAll=1&hlbuild=I200904251850#I200904251850,www.eclipse.org,org
800025,message #248729,[Announce] GEF 3.5.0 I200904251850 is available,http://www.eclipse.org/gef/news/relnotes.php?project=gef&;version=I200904251850,www.eclipse.org,org
800047,message #248734,[Announce] GEF 3.5.0 I200904251850 is available,http://www.eclipse.org/gef/downloads/?project=gef&showAll=1&hlbuild=I200904251850#I200904251850,www.eclipse.org,org
800047,message #248734,[Announce] GEF 3.5.0 I200904251850 is available,http://www.eclipse.org/gef/news/relnotes.php?project=gef&;version=I200904251850,www.eclipse.org,org
800128,message #248765,Eclipse M8 :: Installation ?,http://www.eclipse.org/vep/,www.eclipse.org,org
800156,message #248771,[Announce] GEF 3.5.0M7 is available,http://www.eclipse.org/gef/downloads/?project=gef&showAll=1&hlbuild=S200905011522#S200905011522,www.eclipse.org,org
800156,message #248771,[Announce] GEF 3.5.0M7 is available,http://www.eclipse.org/gef/news/relnotes.php?project=gef&;version=3.5.0M7,www.eclipse.org,org
800234,message #248802,[Announce] GEF 3.5.0 I200905041850 is available,http://www.eclipse.org/gef/downloads/?project=gef&showAll=1&hlbuild=I200905041850#I200905041850,www.eclipse.org,org
800234,message #248802,[Announce] GEF 3.5.0 I200905041850 is available,http://www.eclipse.org/gef/news/relnotes.php?project=gef&;version=I200905041850,www.eclipse.org,org
800256,message #248809,problem when exporting to XLS,https://bugs.eclipse.org/bugs/show_bug.cgi?id=198212,bugs.eclipse.org,org
800275,message #248815,How to debug classloading failures?,http://dev.eclipse.org/viewcvs/index.cgi/~checkout~/platform-core-home/runtime/adoption.html,dev.eclipse.org,org
800281,message #248818,Report parameters problem....,http://www.e-krug.com/,www.e-krug.com,com
800306,message #248822,the right way to deal with requests,http://wiki.eclipse.org/index.php/GEF_Developer_FAQ#How_do_I_find_the_location_of_the_context_menu.3F,wiki.eclipse.org,org
800314,message #248827,PackageExplorer tree nodes,http://help.eclipse.org/help33/topic/org.eclipse.jdt.doc.isv/guide/jdt_int_model.htm,help.eclipse.org,org
800347,message #248835,What are Batik Plugins for?,http://sourceforge.net/projects/svgplugin/,sourceforge.net,net
800364,message #248844,Problemes with plugin.xml properties,http://help.eclipse.org/stable/topic/org.eclipse.platform.doc.isv/reference/api/org/eclipse/core/runtime/IExecutableExtension.html,help.eclipse.org,org
800364,message #248844,Problemes with plugin.xml properties,http://help.eclipse.org/stable/topic/org.eclipse.platform.doc.isv/reference/api/org/eclipse/core/runtime/IConfigurationElement.html,help.eclipse.org,org
800382,message #248848,[Quick Assist] Quick assist fails in else-if expression,http://bugs.eclipse.org/bugs,bugs.eclipse.org,org
800382,message #248848,[Quick Assist] Quick assist fails in else-if expression,https://bugs.eclipse.org/bugs/show_bug.cgi?id=206617,bugs.eclipse.org,org
800479,message #248871,Wrapping source code,https://bugs.eclipse.org/bugs/show_bug.cgi?id=35779,bugs.eclipse.org,org
800484,message #248877,Missing required bundle org.eclipse.draw2d_3.4.1,http://www.eclipse.org/gef/downloads/,www.eclipse.org,org
800496,message #248881,make clean or build all,http://runnerwhocodes.blogspot.com,runnerwhocodes.blogspot.com,blogspot.com
800511,message #248885,Table width problem between Birt 2.1 and 2.2,https://bugs.eclipse.org/bugs/show_bug.cgi?id=177285,bugs.eclipse.org,org
800542,message #248891,Edit makefiles?,http://www.eclipse.org/cdt,www.eclipse.org,org
800568,message #248894,Fancy progress dialogs,http://dev.eclipse.org/viewcvs/index.cgi/%7Echeckout%7E/platform-core-home/documents/plan_concurrency_modal_progress.html,dev.eclipse.org,org
800568,message #248894,Fancy progress dialogs,http://www.swt-designer.com,www.swt-designer.com,com
800573,message #248895,BIRT embedded BI suite launched into Japanese market,http://www.asahi.com/digital/bcnnews/BCN200707180009.html,www.asahi.com,com
800573,message #248895,BIRT embedded BI suite launched into Japanese market,http://it.nikkei.co.jp/business/news/release.aspx?i=165059,it.nikkei.co.jp,co.jp
800573,message #248895,BIRT embedded BI suite launched into Japanese market,http://www.computernews.com/DailyNews/2007/07/2007071805149085897A2020.htm,www.computernews.com,com
800573,message #248895,BIRT embedded BI suite launched into Japanese market,http://www.comsearch.jp/release/archives/2007/07/yellowfin7.html,www.comsearch.jp,jp
800573,message #248895,BIRT embedded BI suite launched into Japanese market,http://www.cd.maruzen.co.jp/kmsi/,www.cd.maruzen.co.jp,co.jp
800632,message #248911,Problem with the ppt emitter - with sample report,http://www.eclipse.org/birt/2005/design,www.eclipse.org,org
800632,message #248911,Problem with the ppt emitter - with sample report,http://www.eclipse.org/datatools/connectivity/oda/design,www.eclipse.org,org
800632,message #248911,Problem with the ppt emitter - with sample report,http://www.eclipse.org/birt/report/model/adapter/odaModel,www.eclipse.org,org
800632,message #248911,Problem with the ppt emitter - with sample report,http://www.w3.org/2001/XMLSchema-instance,www.w3.org,org
800632,message #248911,Problem with the ppt emitter - with sample report,http://www.birt.eclipse.org/ChartModelAttribute,www.birt.eclipse.org,org
800632,message #248911,Problem with the ppt emitter - with sample report,http://www.birt.eclipse.org/ChartModelData,www.birt.eclipse.org,org
800632,message #248911,Problem with the ppt emitter - with sample report,http://www.birt.eclipse.org/ChartModelLayout,www.birt.eclipse.org,org
800632,message #248911,Problem with the ppt emitter - with sample report,http://www.birt.eclipse.org/ChartModel,www.birt.eclipse.org,org
800632,message #248911,Problem with the ppt emitter - with sample report,http://www.birt.eclipse.org/ChartModelType,www.birt.eclipse.org,org
800650,message #248916,J2SE-1.6 Execution Environment Constraint,http://dev.eclipse.org/newslists/news.eclipse.tools.jdt/msg21421.html,dev.eclipse.org,org
800673,message #248927,J2EE Perspective problem,http://www.eclipse.org/downloads/,www.eclipse.org,org
800695,message #248931,[Announce] GEF 3.5.0 I200905121850 is available,http://www.eclipse.org/gef/downloads/?project=gef&showAll=1&hlbuild=I200905121850#I200905121850,www.eclipse.org,org
800695,message #248931,[Announce] GEF 3.5.0 I200905121850 is available,http://www.eclipse.org/gef/news/relnotes.php?project=gef&;version=I200905121850,www.eclipse.org,org
800723,message #248955,Spell check: french dictionary?,http://www.eclipse.org/babel/,www.eclipse.org,org
800741,message #248957,copy paste issue,http://www.eclipsezone.com/eclipse/forums/t45874.html,www.eclipsezone.com,com
800753,message #248958,Launching a feature based product,http://help.eclipse.org/help33/topic/org.eclipse.pde.doc.user/tips/pde_tips.htm,help.eclipse.org,org
800784,message #248966,Changing default TestCase template?,https://bugs.eclipse.org/bugs/show_bug.cgi?id=136730,bugs.eclipse.org,org
800819,message #248977,TreeViewer with columns cell selection,http://wiki.eclipse.org/JFaceSnippets#Snippet026TreeViewerTabEditing,wiki.eclipse.org,org
800834,message #248979,override for interface question,http://dev.eclipse.org/newslists/news.eclipse.tools.jdt/msg21317.html,dev.eclipse.org,org
800834,message #248979,override for interface question,https://bugs.eclipse.org/bugs/show_bug.cgi?id=163194,bugs.eclipse.org,org
800875,message #248985,Eclipse 3.3 on Mac losing settings,https://bugs.eclipse.org/bugs/show_bug.cgi?id=195073,bugs.eclipse.org,org
800875,message #248985,Eclipse 3.3 on Mac losing settings,https://bugs.eclipse.org/bugs/show_bug.cgi?id=200059,bugs.eclipse.org,org
800893,message #249002,How to JUnit-test Draw2D applications?,http://code.google.com/p/swtbot4gef/,code.google.com,com
