file_number,message_id,topic,link,domain,top_level_domain
32,message #3,Welcome to the Business Intelligence and Reporting Tools Newsgroup!,http://www.eclipse.org/proposals/eclipse-birt/index.html,www.eclipse.org,org
42,message #4,SVG support in charting engine,http://www.oasis-open.org/committees/office/faq.php,www.oasis-open.org,org
42,message #4,SVG support in charting engine,http://www.openoffice.org/,www.openoffice.org,org
42,message #4,SVG support in charting engine,http://news.zdnet.com/2100-3513_22-5979150.html,news.zdnet.com,com
59,message #7,Question,http://www.eclipse.org/org/documents/Eclipse%20Development%20Process%202003_11_09%20FINAL.pdf,www.eclipse.org,org
61,message #9,Inital thoughts on proposal,http://www.actuate.com/corporate/corporateresources.asp?ArticleId=7256,www.actuate.com,com
73,message #11,Introducing Certive,http://www.certive.com,www.certive.com,com
104,message #23,Some thoughts,http://udig.refractions.net/,udig.refractions.net,net
116,message #28,Geographical Charts,http://www.visualmining.com/ncs/projects/Examples/MapData/mappage.jsp?THESTATE=PolySet-Missouri,www.visualmining.com,com
116,message #28,Geographical Charts,http://www.visualmining.com/ncs/projects/Examples/MapData/mappage.jsp?THESTA,www.visualmining.com,com
116,message #28,Geographical Charts,http://opensourcegis.org/,opensourcegis.org,org
116,message #28,Geographical Charts,http://openmap.bbn.com/,openmap.bbn.com,com
116,message #28,Geographical Charts,http://geoserver.sourceforge.net/html/index.php,geoserver.sourceforge.net,net
116,message #28,Geographical Charts,http://geotools.codehaus.org/,geotools.codehaus.org,org
116,message #28,Geographical Charts,http://fulcrum.traversetechnologies.com/,fulcrum.traversetechnologies.com,com
116,message #28,Geographical Charts,http://www.vividsolutions.com/jump/,www.vividsolutions.com,com
135,message #30,Meta-data,http://www.kettle.be,www.kettle.be,be
135,message #30,Meta-data,http://www.oasis-open.org/cover/omg-cwmi.html,www.oasis-open.org,org
135,message #30,Meta-data,http://www.oasis-open.org/cover/xmi.html,www.oasis-open.org,org
157,message #38,Mondrian and JPivot,http://sourceforge.net/projects/mondrian/,sourceforge.net,net
157,message #38,Mondrian and JPivot,http://sourceforge.net/projects/jpivot/,sourceforge.net,net
