file_number,message_id,topic,link,domain,top_level_domain
1000000,message #305932,Simple Text editor in RCP,http://www.eclipse.org/eclipse/platform-text/development/rcp/examples/index.html,www.eclipse.org,org
900083,message #278199,CVS for newbies,https://www.cvshome.org/,www.cvshome.org,org
900091,message #278201,Sysdeo Tomcat plugin driving me mad,http://www.eclipse.org/downloads/index.php,www.eclipse.org,org
900091,message #278201,Sysdeo Tomcat plugin driving me mad,http://www.sysdeo.com/eclipse/tomcatPlugin.html,www.sysdeo.com,com
900129,message #278205,Re:  CVS for newbies,http://www.cvshome.org/docs/manual,www.cvshome.org,org
900129,message #278205,Re:  CVS for newbies,https://www.cvshome.org/,www.cvshome.org,org
900129,message #278205,Re:  CVS for newbies,http://www.cvsnt.com/cvspro/,www.cvsnt.com,com
900129,message #278205,Re:  CVS for newbies,https://bugs.eclipse.org/bugs/show_bug.cgi?id=39516,bugs.eclipse.org,org
900204,message #278231,Plugin class loader problem,http://eclipsewiki.editme.com/PDEFaq#context,eclipsewiki.editme.com,com
900216,message #278238,Disable logging,http://dev.eclipse.org/newslists/news.eclipse.birt/msg12005.html,dev.eclipse.org,org
900235,message #278245,Multiple problems when creating a feature,http://dev.eclipse.org/viewcvs/index.cgi/pde-build-home/articles/export%20rc,dev.eclipse.org,org
900280,message #278258,Checking out a project from CVS Branch,http://www.magic-cauldron.com/cm/cvs-bestpractices/,www.magic-cauldron.com,com
900280,message #278258,Checking out a project from CVS Branch,https://www.cvshome.org/docs/manual/cvs-1.11.18/cvs.html,www.cvshome.org,org
900324,message #278263,What is platform in Eclipse - newbie,http://www.grisoft.com,www.grisoft.com,com
900365,message #278274,editor to view (newbie),http://www.jroller.com/page/Zhou,www.jroller.com,com
900413,message #278291,Can you drag & drop using the Java editor,https://bugs.eclipse.org/bugs/show_bug.cgi?id=11624,bugs.eclipse.org,org
900463,message #278303,UndoManager for views?,http://dev.eclipse.org/viewcvs/index.cgi/%7Echeckout%7E/platform-ui-home/R3_1/undo-redo-proposal/undo-redo%20support.html,dev.eclipse.org,org
900463,message #278303,UndoManager for views?,https://bugs.eclipse.org/bugs/show_bug.cgi?id=37716,bugs.eclipse.org,org
900485,message #278310,[EclipseCon] Early registration discount ends in three days,http://www.eclipsecon.org/events.php?eclipse.foundation,www.eclipsecon.org,org
900485,message #278310,[EclipseCon] Early registration discount ends in three days,http://www.eclipsecon.org/sessions.php?eclipse.foundation,www.eclipsecon.org,org
900485,message #278310,[EclipseCon] Early registration discount ends in three days,http://www.eclipsecon.org/register.php?eclipse.foundation,www.eclipsecon.org,org
900510,message #278314,How to communicate from ResourceNavigate view with my custom view,http://www.eclipse.org/articles/Article-Resource-deltas/resource-deltas.html,www.eclipse.org,org
900628,message #278337,PDE Tools > Create Ant Build file : Problem with javacTarget javacSource 1.5,https://bugs.eclipse.org/bugs/show_bug.cgi?id=44821,bugs.eclipse.org,org
900628,message #278337,PDE Tools > Create Ant Build file : Problem with javacTarget javacSource 1.5,https://bugs.eclipse.org/bugs/show_bug.cgi?id=25510,bugs.eclipse.org,org
900686,message #278350,external jar - nullpointerexception,http://www.luc.ac.be/~gjb/simpleDB/,www.luc.ac.be,ac.be
900701,message #278353,Problem installing eclipse on solaris 9,http://www.sunfreeware.com/,www.sunfreeware.com,com
900739,message #278356,"Newbie, Problem in Importing Package",http://www.grisoft.com,www.grisoft.com,com
900739,message #278356,"Newbie, Problem in Importing Package",http://www.opera.com/m2/,www.opera.com,com
900752,message #278362,EclipseTracker: Eclipse News Aggregator,http://eclipsetracker.blogspot.com/,eclipsetracker.blogspot.com,blogspot.com
900818,message #278371,Developing a custom text editor,http://dev.eclipse.org/viewcvs/index.cgi/%7Echeckout%7E/platform-text-home/eclipseCon/talk.pdf,dev.eclipse.org,org
900818,message #278371,Developing a custom text editor,http://dev.eclipse.org/viewcvs/index.cgi/%7Echeckout%7E/platform-text-home/development/rcp/examples/index.html,dev.eclipse.org,org
900827,message #278372,JSP highlight,http://sourceforge.net/project/showfiles.php?group_id=34855,sourceforge.net,net
900845,message #278375,Where to download full of eclipse  source ?,http://www.eclipse.org/downloads/index.php,www.eclipse.org,org
900866,message #278384,Plugin development,http://www.frightanic.com,www.frightanic.com,com
900915,message #278390,"Newbie, Problem Regarding CVS",http://www.grisoft.com,www.grisoft.com,com
900924,message #278392,Can I use Eclipse as a editor?,https://bugs.eclipse.org/bugs/show_bug.cgi?id=4922,bugs.eclipse.org,org
900948,message #278395,3.1M4 build error,https://bugs.eclipse.org/bugs/show_bug.cgi?id=81535,bugs.eclipse.org,org
900954,message #278398,Problem with 3.0.1,https://bugs.eclipse.org/bugs/show_bug.cgi?id=81803,bugs.eclipse.org,org
900977,message #278401,Can't get scp task to run in Ant 1.6.2,http://www.jcraft.com/jsch/index.html,www.jcraft.com,com
900977,message #278401,Can't get scp task to run in Ant 1.6.2,https://bugs.eclipse.org/bugs/show_bug.cgi?id=64777,bugs.eclipse.org,org
900983,message #278406,java profiler,http://www.eclipse.org/hyades/,www.eclipse.org,org
900983,message #278406,java profiler,https://bugs.eclipse.org/bugs/show_bug.cgi?id=51293,bugs.eclipse.org,org
900983,message #278406,java profiler,http://profiler.netbeans.org/,profiler.netbeans.org,org
900983,message #278406,java profiler,http://eclipsefaq.org/chris/xray,eclipsefaq.org,org
900983,message #278406,java profiler,http://eclipsefaq.org,eclipsefaq.org,org
901049,message #278418,Not able to Download eclipse SDK Example.zip,http://www.eclipse.org/downloads/index.php,www.eclipse.org,org
901121,message #278442,new project,http://www.rigidsoftware.com/Chess/chess.html,www.rigidsoftware.com,com
901158,message #278457,"Eclipse crashes under with ""Open External File""",https://bugs.eclipse.org/bugs/show_bug.cgi?id=78295,bugs.eclipse.org,org
901160,message #278467,Preference Pages / File- Path-Selection Dialog,https://bugs.eclipse.org/bugs/show_bug.cgi?id=82155,bugs.eclipse.org,org
901221,message #278488,TableTreeViewer Additional Icon after [+][-],http://wiki.eclipse.org/JFaceSnippets,wiki.eclipse.org,org
901294,message #278513,"Newbie, Debugging in Eclipse3.0",http://www.grisoft.com,www.grisoft.com,com
