file_number,message_id,topic,link,domain,top_level_domain
400031,message #130024,I think JDT should add support of JDK1.5,https://bugs.eclipse.org/bugs/show_bug.cgi?id=36938,bugs.eclipse.org,org
400062,message #130030,Cannot attach a fragment to the system bundle.,http://dev.eclipse.org/newslists/news.eclipse.technology.equinox/msg03760.html,dev.eclipse.org,org
400062,message #130030,Cannot attach a fragment to the system bundle.,http://wagenknecht.org/,wagenknecht.org,org
400062,message #130030,Cannot attach a fragment to the system bundle.,http://kork.insomnia-hq.de/public/de.insomniahq.peroxidej.system_1.0.0v0.jar,kork.insomnia-hq.de,de
400084,message #130035,TableTree and  TableTreeViewer,http://www.eclipse.org/articles/treeviewer-cg/TreeViewerArticle.htm,www.eclipse.org,org
400098,message #130040,Pie Chart Min Slice Legend,https://bugs.eclipse.org/bugs/show_bug.cgi?id=116707,bugs.eclipse.org,org
400142,message #130054,Generating Configuration Metadata,http://wiki.eclipse.org/Equinox/p2/GeneratingCUs,wiki.eclipse.org,org
400142,message #130054,Generating Configuration Metadata,http://www.eclipse.org/newsportal/article.php?id=6117&group=eclipse.technology.equinox#6117,www.eclipse.org,org
400142,message #130054,Generating Configuration Metadata,http://dev.eclipse.org/mhonarc/lists/p2-dev/msg01379.html,dev.eclipse.org,org
400142,message #130054,Generating Configuration Metadata,https://bugs.eclipse.org/bugs/show_bug.cgi?id=265217,bugs.eclipse.org,org
400142,message #130054,Generating Configuration Metadata,https://bugs.eclipse.org/bugs/show_bug.cgi?id=273935,bugs.eclipse.org,org
400142,message #130054,Generating Configuration Metadata,https://bugs.eclipse.org/bugs/show_bug.cgi?id=274073,bugs.eclipse.org,org
400142,message #130054,Generating Configuration Metadata,https://bugs.eclipse.org/bugs/show_bug.cgi?id=275404,bugs.eclipse.org,org
400173,message #130060,TPTP Automated Gui Recorder not identifying pop ups,https://bugs.eclipse.org/bugs/show_bug.cgi?id=167105,bugs.eclipse.org,org
400195,message #130073,"Linux problems with clean ""all in one"" build",http://www.eclipse.org/downloads/download.php?file=/tptp/4.4.1/TPTP-4.4.1/tptp.runtime.allInOne.linux.gtk.x86-TPTP-4.4.1.zip,www.eclipse.org,org
400195,message #130073,"Linux problems with clean ""all in one"" build",http://www.w3.org/2001/XMLSchema-instance,www.w3.org,org
400203,message #130076,RDB component invisible!,http://weconsultants.servebeer.com,weconsultants.servebeer.com,servebeer.com
400218,message #130077,CTRL+C doesn't copy in text editor,https://bugs.eclipse.org/bugs/show_bug.cgi?id=16011,bugs.eclipse.org,org
400218,message #130077,CTRL+C doesn't copy in text editor,https://bugs.eclipse.org/bugs/show_bug.cgi?id=20874,bugs.eclipse.org,org
400218,message #130077,CTRL+C doesn't copy in text editor,http://www.jibeinc.com,www.jibeinc.com,com
400232,message #130088,"No ""j2ee web project""",http://www.eclipse.org/webtools/testtutorials/M2/tutorial1/wtp-tutorial-I.html,www.eclipse.org,org
400232,message #130088,"No ""j2ee web project""",http://www.eclipse.org/downloads/download.php?file=/webtools/downloads/drops/R-0.7-200507290654/wtp-all-in-one-0.7-win32.zip,www.eclipse.org,org
400273,message #130096,How can I get multiple LCAs to work?,http://help.eclipse.org/ganymede/index.jsp?topic=/org.eclipse.rap.help/help/html/advanced/custom-widget.html,help.eclipse.org,org
400295,message #130100,Installing JBoss-4.0.2 in Eclipse 3.1,http://davedunkin.com,davedunkin.com,com
400295,message #130100,Installing JBoss-4.0.2 in Eclipse 3.1,http://projst.com/,projst.com,com
400312,message #130115,searching files in jars of source,https://bugs.eclipse.org/bugs/show_bug.cgi?id=23341,bugs.eclipse.org,org
400384,message #130141,MyeclipseAndwebTools???,http://www.myeclipseide.com/index.php?name=PNphpBB2&file=viewtopic&t=7935&start=15&postdays=0&postorder=asc,www.myeclipseide.com,com
400398,message #130144,Embedding web container in branded workbench,http://www.eclipse.org/jetty/,www.eclipse.org,org
400398,message #130144,Embedding web container in branded workbench,http://www.eclipse.org/equinox/server/http_in_equinox.php,www.eclipse.org,org
400425,message #130149,Custom Dialog for a certain type of Node,http://www.eclipse.org/articles/viewArticle/ViewArticle2.html,www.eclipse.org,org
400425,message #130149,Custom Dialog for a certain type of Node,http://www.eclipse.org/articles/Article-JFace%20Wizards/wizardArticle.html,www.eclipse.org,org
400425,message #130149,Custom Dialog for a certain type of Node,http://www.eclipse.org/articles/Article-TreeViewer/TreeViewerArticle.htm,www.eclipse.org,org
400449,message #130156,Content assist in jsp: problem getting model,https://bugs.eclipse.org/bugs/show_bug.cgi?id=105467,bugs.eclipse.org,org
400464,message #130162,GridLayout/TableLayout,http://dev.eclipse.org/newslists/news.eclipse.tools.gef/msg04763.html,dev.eclipse.org,org
400534,message #130182,How can I build to .exe file,http://www.devx.com/Java/Article/30287,www.devx.com,com
400544,message #130183,[EMF Compare] Comparing 2 XML schemas,http://wiki.eclipse.org/index.php/EMF_Compare,wiki.eclipse.org,org
400544,message #130183,[EMF Compare] Comparing 2 XML schemas,http://wiki.eclipse.org/Comparing_XML_files_with_EMF_Compare,wiki.eclipse.org,org
400544,message #130183,[EMF Compare] Comparing 2 XML schemas,http://wiki.eclipse.org/EMF_Compare_FAQ,wiki.eclipse.org,org
400544,message #130183,[EMF Compare] Comparing 2 XML schemas,http://wiki.eclipse.org/EMF_Compare_FAQ#How_can_I_use_EMF_Compare_programmatically.3F,wiki.eclipse.org,org
400567,message #130186,Exclude files while creating project,https://bugs.eclipse.org/bugs/show_bug.cgi?id=25682,bugs.eclipse.org,org
400634,message #130200,How to create a simple plugin for file templates?,http://groups.yahoo.com/group/contributingtoeclipse/,groups.yahoo.com,com
400667,message #130207,Servlet class cast exception in eclipse 3.3,http://wagenknecht.org/,wagenknecht.org,org
400675,message #130208,Getting Started rt-left arrows do not work,http://help.eclipse.org/help31/index.jsp,help.eclipse.org,org
400693,message #130213,Internal Error,http://www.eclipse.org/birt/phoenix/build/#itext,www.eclipse.org,org
400714,message #130222,Not able to launch profiler,http://www.eclipse.org/tptp/home/downloads/,www.eclipse.org,org
400782,message #130237,Quick (un-)comment ANSI C style,https://bugs.eclipse.org/bugs/,bugs.eclipse.org,org
400799,message #130239,How to set encoding for IFile when reading,https://bugs.eclipse.org/bugs/show_bug.cgi?id=37933,bugs.eclipse.org,org
400803,message #130240,[Ecore Diagram] Class diagrams of classes spanning 2 or more packages,https://bugs.eclipse.org/bugs/show_bug.cgi?id=243468,bugs.eclipse.org,org
400850,message #130256,FormText in standalone RWT,http://www.ibm.com/developerworks/opensource/library/os-eclipse-forms/,www.ibm.com,com
400850,message #130256,FormText in standalone RWT,http://www.nmmn.com,www.nmmn.com,com
400868,message #130259,How To Package P2 Binary Artifacts,http://help.eclipse.org/ganymede/index.jsp?topic=/org.eclipse.pde.doc.user/tasks/pde_rootfiles.htm,help.eclipse.org,org
400962,message #130301,BIRT error:  Assertion Failed,http://img35.imageshack.us/img35/428/birterror7ms.gif,img35.imageshack.us,us
400962,message #130301,BIRT error:  Assertion Failed,https://bugs.eclipse.org/bugs/show_bug.cgi?id=98895,bugs.eclipse.org,org
401014,message #130320,diagram partitioning cookbook,http://wiki.eclipse.org/Diagram_Partitioning,wiki.eclipse.org,org
401014,message #130320,diagram partitioning cookbook,http://enigmail.mozdev.org,enigmail.mozdev.org,org
401025,message #130325,How do I package an equinox server side application,http://twitter.com/eclipsesource,twitter.com,com
401025,message #130325,How do I package an equinox server side application,http://twitter.com/caniszczyk,twitter.com,com
401025,message #130325,How do I package an equinox server side application,http://wagenknecht.org/,wagenknecht.org,org
401064,message #130341,VE/Data Binding tighter integration,http://www.eclipse.org/dali/,www.eclipse.org,org
401078,message #130342,IWAB0398E Error in WTP .07  G.S.,http://www.eclipse.org/webtools/jst/components/ws/M5/tutorials/BottomUpWebService.html,www.eclipse.org,org
401078,message #130342,IWAB0398E Error in WTP .07  G.S.,https://bugs.eclipse.org/bugs/show_bug.cgi?id=105207,bugs.eclipse.org,org
401105,message #130347,"moved eclipse, now says jre should be in eclipse folder",http://eclipsewiki.editme.com/StartupProblems,eclipsewiki.editme.com,com
