file_number,message_id,topic,author,link,domain,top_level_domain
236921,message #719194,loading templates from another package,Louis Rose,http://www.eclipse.org/gmt/epsilon/doc/articles/minimal-examples/,www.eclipse.org,org
236924,message #719198,Error: Graphiti 0.8.0 and Eclipse BPMN2,Michael Wenz,http://www.eclipse.org/graphiti/pages/whats-new.html,www.eclipse.org,org
236928,message #719203,filtering comboviewer on linux and mac,Grant Gayed,http://git.eclipse.org/c/platform/eclipse.platform.swt.git/tree/examples/org.eclipse.swt.snippets/src/org/eclipse/swt/snippets/Snippet320.java,git.eclipse.org,org
236956,message #719247,Xcore syntax for object creation and initialization,Michael Vorburger,http://blog2.vorburger.ch/2013/06/efactory-ii-xobjects-ehutn.html,blog2.vorburger.ch,ch
236956,message #719247,Xcore syntax for object creation and initialization,Michael Vorburger,https://github.com/vorburger/efactory,github.com,com
236956,message #719247,Xcore syntax for object creation and initialization,Michael Vorburger,http://www.youtube.com/watch?feature=player_embedded&v=ToUWqIRHkHY,www.youtube.com,com
236959,message #719252,Dealing with EMF model and parser error,Christian Dietrich,http://wiki.eclipse.org/Xtext/FAQ#How_do_I_load_my_model_in_a_standalone_Java_application.C2.A0.3F,wiki.eclipse.org,org
236959,message #719252,Dealing with EMF model and parser error,Sebastian Zarnekow,http://xtext.itemis.com,xtext.itemis.com,com
236971,message #719286,Using views in CriteriaQuery,James,http://wiki.eclipse.org/EclipseLink,wiki.eclipse.org,org
236971,message #719286,Using views in CriteriaQuery,James,http://en.wikibooks.org/wiki/Java_Persistence,en.wikibooks.org,org
236971,message #719286,Using views in CriteriaQuery,James,http://java-persistence-performance.blogspot.com/,java-persistence-performance.blogspot.com,blogspot.com
236975,message #719297,Child Reference of a node,Alex Kravets,http://www.omg.org/XMI,www.omg.org,org
236975,message #719297,Child Reference of a node,Alex Kravets,http://www.w3.org/2001/XMLSchema-instance,www.w3.org,org
236975,message #719297,Child Reference of a node,Alex Kravets,http://example.com/workflow,example.com,com
236990,message #719328,Does BIRT have a Mondrian or XMLA data source?,Jason Weathersby,http://www.birt-exchange.org/org/devshare/designing-birt-reports/445-oda-primer-articles/,www.birt-exchange.org,org
237023,message #719391,Buckminster build in hudson with precreated target platform,Lothar Werzinger,http://wiki.eclipse.org/Building_an_RCP_application_with_hudson_(Buckminster)#Creating_the_Build_Job,wiki.eclipse.org,org
237023,message #719391,Buckminster build in hudson with precreated target platform,Lothar Werzinger,https://github.com/eclipse/buckminster/tree/master/org.eclipse.buckminster.tutorial.mailapp.releng,github.com,com
237028,message #719398,Problems with imports after migrating to xtext 2.0,Sebastian Zarnekow,http://xtext.itemis.com,xtext.itemis.com,com
237039,message #719414,[emf] question on ordering elements in ecore model,tsurdilo ,http://www.omg.org/spec/BPMN/20100501/Semantic.xsd,www.omg.org,org
237039,message #719414,[emf] question on ordering elements in ecore model,tsurdilo ,https://github.com/eclipse/bpmn2/tree/master/org.eclipse.bpmn2/model,github.com,com
237071,message #719456,Configure postprocessor for xtext2 generator in the MWE2 workflow?,Christian Dietrich,https://bugs.eclipse.org/bugs/show_bug.cgi?id=353463,bugs.eclipse.org,org
237071,message #719456,Configure postprocessor for xtext2 generator in the MWE2 workflow?,Sebastian Zarnekow,http://xtext.itemis.com,xtext.itemis.com,com
237073,message #719461,huge polyline performance,Vijay Raj,http://git.eclipse.org/c/platform/eclipse.platform.swt.git/tree/examples/org.eclipse.swt.snippets/src/org/eclipse/swt/snippets/Snippet141.java,git.eclipse.org,org
237106,message #719517,Dynamic updating of Enable/Disabled UI Element,Eclipse User,http://www.w3.org/TR/html4/strict.dtd,www.w3.org,org
