file_number,message_id,topic,author,link,domain,top_level_domain
440012,message #985435,Eclipse complains about working code,Axel Mueller,http://wiki.eclipse.org/CDT/User/FAQ#CDT_does_not_recognize_C.2B.2B11_features,wiki.eclipse.org,org
440021,message #985445,Change web service response,Russell Bateman,http://www.coderanch.com/forums/f-51/Web-Services,www.coderanch.com,com
440035,message #985460,Resolving Crossreferences in Eclipse context,Christian Dietrich,http://xtext.itemis.com,xtext.itemis.com,com
440060,message #985488,Emma Update,Flavio Donze,http://download.eclipse.org/tools/buckminster/headless-4.2/,download.eclipse.org,org
440060,message #985488,Emma Update,Flavio Donze,http://www.eclemma.org/changes.html,www.eclemma.org,org
440060,message #985488,Emma Update,Bernard Sarter,https://bugs.eclipse.org/bugs/show_bug.cgi?id=368042,bugs.eclipse.org,org
440060,message #985488,Emma Update,Thomas Hallgren,http://download.cloudsmith.com/buckminster/external-4.2,download.cloudsmith.com,com
440060,message #985488,Emma Update,Flavio Donze,https://issues.jenkins-ci.org/browse/JENKINS-15857,issues.jenkins-ci.org,org
440060,message #985488,Emma Update,Lorenzo Bettini,http://www.lorenzobettini.it,www.lorenzobettini.it,it
440060,message #985488,Emma Update,Lorenzo Bettini,https://groups.google.com/forum/#!topic/jenkins-jacoco-plugin-mailing-list/MRbOzqWJ580,groups.google.com,com
440077,message #985508,Virgo tooling : Bundle dependencies broken once changed MANIFEST.MF of a installed bundle,Leo Dos Santos,https://bugs.eclipse.org/bugs/show_bug.cgi?id=375818,bugs.eclipse.org,org
440082,message #985515,Running the Xtext machinery outside the builder,Jan Koehnlein,http://xtext.itemis.com,xtext.itemis.com,com
440082,message #985515,Running the Xtext machinery outside the builder,Knut Wannheden,https://bugs.eclipse.org/bugs/show_bug.cgi?id=358714,bugs.eclipse.org,org
440082,message #985515,Running the Xtext machinery outside the builder,Knut Wannheden,https://bugs.eclipse.org/bugs/show_bug.cgi?id=359824,bugs.eclipse.org,org
440099,message #985534,How to add new model elements in refining mode,Andreas Brieg,http://www.eclipse.org/MoDisco/Java/0.2.incubation/java,www.eclipse.org,org
440104,message #985539,[Acceleo] Problem xmi reference to another xmi,Guillaume Lincé,http://www.eclipse.org/forums/index.php/t/430863/,www.eclipse.org,org
440160,message #985611,Export Graphiti diagram image via API,Michael Wenz,https://bugs.eclipse.org/bugs/show_bug.cgi?id=370888,bugs.eclipse.org,org
440176,message #985630,Welcome to the Damos user discussion group,Andreas Unger,https://dev.eclipse.org/mailman/listinfo/damos-dev,dev.eclipse.org,org
440178,message #985637,Moving rows in NatTable when its in sorted state,Dirk Fauth,http://www.glazedlists.com/documentation/tutorial-100#TOC-Sorting-Tables-Sorting-Tables,www.glazedlists.com,com
440180,message #985642,@Lob Causing incorrect Hibrenate mapping,Martin Taal,http://www.eclipse.org/emf/2003/XMLType#//String,www.eclipse.org,org
440180,message #985642,@Lob Causing incorrect Hibrenate mapping,Martin Taal,http://www.eclipse.org/emf/2002/Ecore#//ELongObject,www.eclipse.org,org
440180,message #985642,@Lob Causing incorrect Hibrenate mapping,Martin Taal,http://example.com/robtest,example.com,com
