file_number,message_id,title,author
83127,message #258053,How best to use with Java Packages?,Jim Crowell
83128,message #258056,Designer: Derive Column Header Name Dynamically,Eclipse User
83129,message #258057,@see Type + control + shift + O - adds java import,Justin Early
83130,message #258061,Multiple tables in a single report,Eclipse User
83131,message #258062,why can't I repeat the drawing button in Editor of Eclipse?,Eclipse User
83132,message #258063,Unable to find ITreeContentProvider,Eclipse User
83133,message #258065,why script error on simple hyperlink to bookmark ?,Eclipse User
83134,message #258068,how to change resource when its moved/renamed in 3.0,Eclipse User
83135,message #258070,How to stop java indexer working when lanunching PDE debugger?,Eclipse User
83136,message #258072,Debugging Problem,Eclipse User
83137,message #258073,Can't get Ganymede going right? data explorer,Tom Brander
83138,message #258081,Cannot load classes when running a plug-in,hadas
83139,message #258086,Perspective Specific actions,Nagesh
83140,message #258087,Java desktop app reporting,Eclipse User
83141,message #258089,CVS rcsinfo problem,Eclipse User
83142,message #258090,eclipse problem,Brian Southey
83143,message #258091,does birt support crystal report setting formula ?,Eclipse User
83144,message #258092,plug-in activation,Eclipse User
83145,message #258093,building workspace,Zohar Amir
83146,message #258096,Drill through (linking) from a bar chart,Mitch Christensen
83147,message #258100,Classloader fails when looking for oracle JDBC driver -- at random,Eclipse User
83148,message #258106,out of PermGen space when generating birt report,Maria Kan
83149,message #258108,Wrong Export?,Eclipse User
83150,message #258111,"How to silence a ""... malformed doc comments ..."" warning?",Michael Moser
83151,message #258117,Resolving bindings in createAST,Joel Ossher
83152,message #258120,3.0 startup impossible,Eclipse User
83153,message #258127,Eclipse 3.0 Help Content can't search API reference?,Eclipse User
83154,message #258138,UTF-8 in console,Eclipse User
83155,message #258139,Launch error with Eclipse 3.0 (RCP app),Eclipse User
83156,message #258142,default editor for undefined file types (suffix),Kevin Tomasek
83157,message #258146,Examples,Eclipse User
83158,message #258148,"[ANN] Looking for help: Visual XForms editor, OpenMRS and fighting the AIDS pandemic in Africa",Philippe Ombredanne
83159,message #258153,Extending JUnit plugins,Vlad Dumitrescu
83160,message #258155,Jump to Declaration,Eclipse User
